ID ,url,firstComment,latestComments/0/text,latestComments/1/text,latestComments/2/text,latestComments/3/text,latestComments/4/text,latestComments/5/text,latestComments/6/text,latestComments/7/text,latestComments/8/text
JDC COMMENTS,https://www.instagram.com/p/CnSmwoTs1Fd/,Es un joc....de fet el nom del programa ja ho diu tot....no?,Es un joc....de fet el nom del programa ja ho diu tot....no?,"En aquest cas-programa, no ho crec.",No. Gens ni mica.,Aquest joc no es net puntuen baix per guanyar. Això no s’hauria de permetre,No no,,No crec,,
JDC COMMENTS,https://www.instagram.com/p/CnZQyIns0Tw/,Així dóna gust. El millor programa. Felicitats als 4 restaurants i a tot l'equip de joc de cartes,Així dóna gust. El millor programa. Felicitats als 4 restaurants i a tot l'equip de joc de cartes,"Un programa Brutal  , moltes Felicitats a tots 4 un joc net i honest Felicitats !!!!!",Dona gust quan veus bona gent i sinceritat. Per mi el millor programa gràcies als concursants. Felicitats a tots quatre!!,Molt bona gent,,Probaría totes!!anirem❤️,Molt bon programa I el final BRUTAL,"Una delícia, el programa d'ahir",⭐⭐⭐⭐⭐
JDC COMMENTS,https://www.instagram.com/p/CnOvALYKgDZ/,,,Boníssim!!!,que chulada de vídeo!!!!!,,Divertidíssim!,"Quina Castanya de restaurants que heu agafat per aquest programa, hi ha mil restaurants millors al Baix Llobregat @jocdecartestv3",Bon començament!!,Brutal lentradeta del programaaaa! Jajajajajaj Sou molt genis,
JDC COMMENTS,https://www.instagram.com/p/CnRcU5jtQhj/,,,,Cuan pugui vindre,"Una mica barrocs, pero tenen bona pinta.",Tots aixi a partir de ara,He gaudit molt del programa,BRUTALS con diria Marc,,
JDC COMMENTS,https://www.instagram.com/p/CnSh_tgIfYV/,aquest programa em va encantar!!,aquest programa em va encantar!!,El millor programa de la temporada!!!Amb llagrimeta inclosa al final... moltes felicitats a tots 4 i en especial a en Lluc per ser així,,@madxef @jocdecartestv3 Crec que es hora de que els jutges siguem gent del carrer per a que les puntuacions siguen los més imparcial possibles. La gent del carrer que i volgué participar ja tindrà el plaer i el premi de menjar de manera gratuïta. Feu la reflexió siusplau @madxef @jocdecartestv3,"BRUTAL! Per fi uns concursants com cal. El programa del Pla de l,Estany és exemple. Que n'aprenguin!!!!!","Lluc, felicitats, el teu gest diu molt de tu! Ens has emocionat!❤️ Fatima, ets molt gran!",El millor programa de tots!!! El Lluc ha demostrat ser una gran persona i un gran cuiner.. M''ha encantat... La resta de cuiners haurien d' aprendre... No cal ser maleducats ni grollers com altres programes..,,"Brutal programa!! El millor amb diferència, com haurien de ser tots!!"
JDC COMMENTS,https://www.instagram.com/p/CnAnMfYtq8_/,"Em trec el barret amb els concursants del Pla de lEstany. Per mi un exemple de honestedat i professionalitat. Tots 4 encantadors. El detall de compartir el premi , uauaauu. Aniré a tots 4 restaurants si puc sens dubte. Macuus","Em trec el barret amb els concursants del Pla de lEstany. Per mi un exemple de honestedat i professionalitat. Tots 4 encantadors. El detall de compartir el premi , uauaauu. Aniré a tots 4 restaurants si puc sens dubte. Macuus","Responsables del programa, ens ho passem més bé amb concursants així que amb els que van de mal rotllo!!!!","Just començar el programa i veure al Lluc, li vaig dir a la meva parella: aquest noi té cara de bona persona i de ser el guanyador del programa (ja que ens agrada fer apostes abans de veure els restaurants) i no em vaig equivocar. Quin gran gest va tenir!! No vaig poder evitar deixar anar alguna lagrimeta. Tant de bo haguessin més programes com aquest. Xapó pels concursants  i felicitats a @canxapes",Siempre veo el programa..pero esta semana hubo una demostracion de humildad.y clase..k me kito el sombrero y me hace mas fuerte en creer en personas buenas compartiendo su premio con fatima.! Chapo.!,"Jo ho tenia molt clar @canxapes pel seu nivell culinari però em va encantar la Fàtima, amb aquesta empenta i ganes de fer les coses bé i unir en aquest poble dues cultures com són la catalana i la marroquina. Un gest preciós de part d""en Lluc, gran professional i millor persona. Haig de dir que els altres dos també estàven molt bé! Felicitats @jocdecartestv3 per un altre gran programa!","No he estat a cap dels restaurants, tot i que conec gent que són clients de can Pericus i de can Xapes i sempre en parlen molt bé. El programa, de 10. Tots els concursants han sigut molt naturals i a més a més, totes les propostes tenen caràcter. Els anirem provant tots i felicitats al guanyador. Quan es cuina bé i s'és persona, no calen les baixeses que veiem en molts programes.","La veritat ,els segueixo tots el puc però amb aquest bon rotllo i saber estar ,un programa x repetir,i en Lluc un gest insuperable!!!",No em perd cap programa peró es de dir que aquest programa d' aquesta setmana es el millor de tots per els concursants. Tots 4 per treure el Barret.  A part uns cuiners de aupa!!!!!!  ojalá  que hagin concursants com aquests sense anar a Ganivet.,Quin nivell el millor programa ganes d' anar a tots 4
JDC COMMENTS,https://www.instagram.com/p/CnEnqMHoNc_/,@ennamoram @lluissabate @jotaelemg,@ennamoram @lluissabate @jotaelemg,Per fiiiii al final canteu com vau prometre!!!!,..tambe cantes i balles ets un partidas!!!,jijijijijij Marc el pròxim programa a la Vozquin crack !!!,Ja estic desitjant veure el Programa,@3erampell un programa del #lowllobregat on no surti el nostre estimat @labonaigua... Regulero...,@3erampell un programa del #lowllobregat on no surti el nostre estimat @labonaigua... Regulero...,,
JDC COMMENTS,https://www.instagram.com/p/CnHMGKzIOSN/,"Hola @madxef i @jocdecartestv3 torno a repetir el que vaig ficar al meu últim comentari, replantejeu el programa i que sigue la gent del carrer qui vagi als restaurants i que aixi serà molt més realista. @chechefood increïble, tinc moltes ganes de vindré a dinar a casa vostra...","Hola @madxef i @jocdecartestv3 torno a repetir el que vaig ficar al meu últim comentari, replantejeu el programa i que sigue la gent del carrer qui vagi als restaurants i que aixi serà molt més realista. @chechefood increïble, tinc moltes ganes de vindré a dinar a casa vostra...",❤️❤️,He trobat a faltar productes!!!,@jotaelemg,"Realment ara mateix no ser qui a guanya (tenim anuncis) pero a diferemcia de la setmana pasada que aniria a qualsevol, avui crec q no aniria a cap o pot ser a un sols.",Casaments i  bodes diu.....,Somhiiiiiiiiiii,,
JDC COMMENTS,https://www.instagram.com/p/CnAprdZNtyd/,"Bonisssssiiiim Marc, ole","Bonisssssiiiim Marc, ole",Espectacular el programa de avui. I el Lluc ha donat un exemple excepcional!!!!,@ainalag tesperaré amb lstevieee,Ja l'estem esperant a Banyoles,,@fatimarocamarti @annareixach @crisrocamarti,@fatimarocamarti @annareixach @crisrocamarti,Estem apunt @canpericus,
JDC COMMENTS,https://www.instagram.com/p/CnAjqnpPX5k/,Moltes felicitats!,Moltes felicitats!,Esta mal doblat o soc jo? No coincideix la veu amb la imatge!!??,Ets genial Marc Marc Ribas,Llàstima de no poder-lo veure,Fan avui divendres joc d cartes?,Avui si?,Hola!!! Com és que no es pot veure el programa d’ahir del pla de l Estany per tv3 a la carta?,"Confien que proxima semana tot sigui com sempre ,esperen el programa amb ganes com es habitual",
