ID ,url,firstComment,latestComments/0/text,latestComments/1/text,latestComments/2/text,latestComments/3/text,latestComments/4/text,latestComments/5/text,latestComments/6/text,latestComments/7/text,latestComments/8/text
JDC COMMENTS,https://www.instagram.com/p/CnWm1DCsjOs/,,,El millor programa i  sobretot tots educats,Moltes gràcies a totes i tots!,El millor programa de la temporada l’hem disfrutat,"Ja era hora, heu esperat l ultim dia x prrdentsr unic programa amb criteri, cuina de veritat i gent sabia i educada.",Estalviarem i vindrem a menjar!!! ❤️❤️,❤️,A veure si heu aprés algo i canvieu una mica el taranná,
JDC COMMENTS,https://www.instagram.com/p/CnSrBC3MqFX/,THE BEST! Love you @sucatti,THE BEST! Love you @sucatti,Preneu nota,Programa interesante en contenido....pero hay que reconocer que si no se tiran de los pelos los unos a los otros es cansino y aburrido....uno de estos de vez en cuando bien....pero las gradas necesitan circo romano..... jajaja... jajaja,"El programa d ahir un dels millors de la temporada, aquest i el de la Boqueria els meus preferits. Comentaris constructius, sense anar a ferir o simplement gaudir de la bona cuina. Felicitats","Ets un crack!! Bon humor, humil i  sabiduría",,M'ha encantat,El millor Joc de Cartes ever! Felicitats!,
JDC COMMENTS,https://www.instagram.com/p/CnSrhA5Iycx/,Brava!,Brava!,,Bien por los restaurantes pero joder las chicas que pijerio,,Dels millors!❤️,"Joc de cartes, el programa de cuina, que maltracta brutalment ,cada setmana el pa, casi mai present a taula, una falta de respecte total, al mon del pa.",❤️❤️❤️❤️ Esa Carlota @lagormanda,"Avui,en molt de temps he pogut gaudir d'un programa de joc de cartes amb gran professionalitat,m'ha encantat!espero que la temporada que ve sigui amb aquest nivell!  la guanyadora, premi ben merescut! ✌️sublim!",Molt bon programa! Com es nota que els periodistes no es jugaven res ahir i per això van ser uns bons crítics amb coherència. En altres programes es lamentable el que fan alguns restauradors per guanyar 5000€…
JDC COMMENTS,https://www.instagram.com/p/CnkwBIBo3xp/,Cuando tenemos nueva temporada?,Cuando tenemos nueva temporada?,"Un equip brutal !! Vem tenir una experiencia boníssima, gracies a ells.",Voleu anar tant de moderns que la aplicació a cambiat del tot i els capitols no es veuen sencers.. Espero que milloreu aixo,Menudo tongo avui...,,Quant comença la nova temporada? @jocdecartestv3,Perqué no está ninguna temporada a internet,Quan torneuuuu,Espero que no tardeu!!! M'encanta el programa!!!!
JDC COMMENTS,https://www.instagram.com/p/CnjozxlIEdF/,Habla español anda,Habla español anda,Hem de tornar a veure la prepoten del nou cal cateri? O bé podeu suprimir la seva part? Gràcies,"Vaig a veure el intermedio. Avui amenacen punyals, no ho soporto",M’esperava algu millor per el final de temporada,Quan comença nova temporada?,@daavid.lm si...per tù,@daavid.lm torna a la cova  probablement parli millor el castellà que tu,,
JDC COMMENTS,https://www.instagram.com/p/CnhigO9I0vA/,A veure si la propera temporada podem veure un programa de restaurants sense gluten!,A veure si la propera temporada podem veure un programa de restaurants sense gluten!,Per què han desaparegut els capítols de Joc de Cartes de TV3 a la carta???,Torneo aviat,,Oooh ...,Ohhh noooo que torni ràpid el programa. Joc de cartes i el Foraster són lo millor!,@jocdecartestv3 quant treureu la nova temporada?,Mira @martinezveronicagonza,"Xao xao, quin descans, a veure quan s'acaba cuines"
JDC COMMENTS,https://www.instagram.com/p/CkLqtf5LKbb/,,,Perquè monteu una plataforma a  TV3 si no deixeu els capítols de jocs de carta per veure'ls :((,Enhorabona!!! ets el millor!!! bons programes de exquisita cuina i bons restaurants,Tornareu a tv3?,felicitats,Muy buenos programas los felicito ❤️❤️❤️❤️❤️❤️,,Felicitats!!!!!!,Enhorabona!!!
JDC COMMENTS,https://www.instagram.com/p/Cuoz3VGooJf/,"Marc sisplau, pots dir-li a la persona que decideix la música, que està posant una M de música. Fan ganas de no mirar el programa.","Marc sisplau, pots dir-li a la persona que decideix la música, que està posant una M de música. Fan ganas de no mirar el programa.",El Cristian de Can Portell es un fals acabat!!!! Persones aixi no haurien de poder participar. ETS UN FALS,Els concursants haurien de tenir RESPECTE per els seus companys. Es una pena veure  algunes de les puntuacions.,Com es pot comparar espais de bodas amb camping? No se,"On podem comentar el programa? Avui ha guanyat un lloc amb una cuina bruta, que ni de conya hi aniria.... La neteja hauria de tenir un plus",Que es un toc femeni????? Com es potvfer aquesta pregunta?????? El feminismo extrem es fent molt mal,"No sé a on ho d'escriure. Em sembla molt malament, que avui  29 de gener no facin el programa, joc de cartes.... Per culpa del futbol. Canviaré de canal","Estem tot el dia defenen que la gent respecti als altres.
En contra del buling.
Però en el vostre programa permeteu amb riures inclosos del presentador, riure de com cuinen altres fins al punt d'humiliació.
Seria bo fer un pensament.
Donar exemple és un 1er pas.",
JDC COMMENTS,https://www.instagram.com/p/CnSo92Ws5RD/,,,"M’agradat molt aquet programa com sempre el Marc fantàstic i els participants han set molt naturals, transparents i educats amb els comentaris que s’han fet els uns als altres. gràcies",Pijerio lo único que se escapa son los restaurantes que son los verdaderos protagonistas y el crítico uffffff,"bravo el @tramendurestaurant , és una joia al barri",@tramendurestaurant,La Gormanda,Únase a la cena o brunch de nuestra mesa de chefs. Este sábado cena de año nuevo chino. Nos quedan 4 plazas.,,
JDC COMMENTS,https://www.instagram.com/p/CnSlEFPsA9F/,Es una llàstima que primi els amiguets !! El concurs no ha sigut just de cap manera!!! Ja no tinc fe amb els integrants del concurs!! Es tongo total!!! Una llàstima !!!,Es una llàstima que primi els amiguets !! El concurs no ha sigut just de cap manera!!! Ja no tinc fe amb els integrants del concurs!! Es tongo total!!! Una llàstima !!!,El Tragaldabas es un restaurant estupendo. Fan uns plats molt elaborats i tot els condiments son frescos i molt escollits!!!,"Puré, puré? sopa de coco més aviat no?",De croquetes sens dubte,,"Puré de coco, nooooo",,,
JDC COMMENTS,https://www.instagram.com/p/CnSmwoTs1Fd/,"Yo personalmente en el Catalina seis adultos y dos niños sin postre ni vinos pagamos 750€. 
Y la comida dejó mucho que desear","Yo personalmente en el Catalina seis adultos y dos niños sin postre ni vinos pagamos 750€. 
Y la comida dejó mucho que desear",Los precios que os cobran en el programa no son los reales que cobran,"marc, dir o preguntar que era un chutney ho he trobat idiota (no recordo el testaurant in ho vas dir) es necesari fer el tonto?",Va estar molt bé el programa. Felicitats a tots.,@catalina.gavamar guanyador jajaja es menja brutal,Molt interesant,No entenc perqué li han posat una nota tan baixa a la cuina del catalina si han dit que era una pasada. I després a la valoració sent la nota més baixa el Marc no pregunta res als companys respecte a aquesta nota,Enhorabona pel programa ď air,❤️
JDC COMMENTS,https://www.instagram.com/p/CnZQyIns0Tw/,,,,Posant una fusta perquè arribi a la altura de la càmera,,@carlaammardo,,De los críticos gastronómicos este es el único que se escapa !! Que pijerio !!,Molt bona temporada !,Emosido engañado
JDC COMMENTS,https://www.instagram.com/p/CnOvALYKgDZ/,,,Ostras para ser críticos gastronómicos las opiniones son muy superficiales … me esperaba algo más objetivo origen del producto y saber definir mejor los platos !!,Em va encantarc,,"Aquesta vegada m’ha agradat molt el programa, moltes vegades he trobat moltes diferencies entre els restaurants i moltes estrategies ….. avui he vist un programa més gastronomic i més tranquil…","Ole!!! qui i hagi de tot a Barna, mola també sapiguer on menjar de guais i excepcionalment!!",Doncs aviam si avui és mes just i no hi ha tanta estratègia i mala llet,,
JDC COMMENTS,https://www.instagram.com/p/CnRcU5jtQhj/,"Amb la Carme he tingut una sensació de 50/50…a vegades em queia bé,…però sembla un llop amb pell de xai. 
Intentar deixar en ridícul al Sucarrats pel tema dels palets…i no ser sincera quan estava disfrutant al Catalina…en Marc diu: “estàs disfrutant?…i ella: “estic menjant”…HOME!!! sabia que era forta competència. 
No ha molat…

També haver-se queixat de la Julia Roberts perq havia valorat el menjar del Gormanda en un 8 enlloc d’un 9??…no mola. Segurament és dels 4 qui ha fet més estratègia.

Però per altre banda també ha dit coses encertades..","Amb la Carme he tingut una sensació de 50/50…a vegades em queia bé,…però sembla un llop amb pell de xai. 
Intentar deixar en ridícul al Sucarrats pel tema dels palets…i no ser sincera quan estava disfrutant al Catalina…en Marc diu: “estàs disfrutant?…i ella: “estic menjant”…HOME!!! sabia que era forta competència. 
No ha molat…

També haver-se queixat de la Julia Roberts perq havia valorat el menjar del Gormanda en un 8 enlloc d’un 9??…no mola. Segurament és dels 4 qui ha fet més estratègia.

Però per altre banda també ha dit coses encertades..","Molt bon format, feia molt temps que no hi havia un nivell tan bo i igualat","AQUEST SÍ que ha sigut un bon programa i amb professionals del sector fent la seva feina, crítica gastronòmica. Poder hi treuria una mica de pijisme, però en general tot correcte. @carmegasull genial com sempre! @sucatti amb el seu punt irònic d'humor picant!",Hoy cualquiera puede decirse crítico y empezar a inventarse terminologías para aparentar entender,Qualsevol pot ser crític gastronómic oi???,"Molt bo avui!! Es genial escoltar gent que enten de cuina i no d'altres que van amb el gavinet a la boca. Per mi, tots els programes haurien de ser així.",Tengo ganas de que empiece,Molt hype!!!,
JDC COMMENTS,https://www.instagram.com/p/CnSh_tgIfYV/,Molt interessant amb la visió dels crítics gastronómics!,Molt interessant amb la visió dels crítics gastronómics!,Quin programa més elegant. Dels millors de @jocdecartestv3 enhorabona,,Moltes felicitats a @lagormanda i a @carmegasull.,El millór de tots els programes que he vist. Josep pero favor es pot ser mes divertitQuin fart de riure,,mbbbbb,,Em vs encantar.  Molt bon rotlle tots.  I elegancia ❤️
JDC COMMENTS,https://www.instagram.com/p/CnAnMfYtq8_/,"A mi, en aquest restaurant em convertirien en Frankenstein, robot, o en terminator","A mi, en aquest restaurant em convertirien en Frankenstein, robot, o en terminator",Es un restaurant original i tot està boníssim!,Molt interessant diferent,En va encantar!! Aniré segur.,Vaig riure molt.,Un noi super maco!,"Boníssim, del crit esgarrifós que vam fer vam despertar el nen dels veïns....brutal!!","Personalitat, el que més el restaurant K, i ell simpatiquisim, potser no era el millor menjar, però es merexia guanyar ell, perque a personalitat no el va guanyar ningú",Jo por no en bui passar
JDC COMMENTS,https://www.instagram.com/p/CnEnqMHoNc_/,Enorabona,Enorabona,Ben merescut!!!,Quina tendresa en Josep! Felicitats ❤️,Quina tendresa en Josep! Felicitats ❤️,,,,,
JDC COMMENTS,https://www.instagram.com/p/CnHMGKzIOSN/,,,lo vaig veure,Totalment jo! Jo no dino...,A mi no em quadren les puntuacions. Amb el 8 d.en Marc el guanyador era el restaurant K. Com feu els comptes?,Bunisimmmm,,"Ufff aquesta temporada el nivell es molt baix. No calia anivellar-se a programes de cuina d,altres cadenes. Per mi un error.","Ho va fer molt bé,  amb caràcter  i diferent, resultat molt just",Molt bo
JDC COMMENTS,https://www.instagram.com/p/CnAprdZNtyd/,"Ha estat bé, la Sra li feia rabia el títol exposat, criticaba que fos el pare el cuiner etc!!! pues ella era la que deia tot al seu fill Estudiar a la Joviat val molts diners i ja que te el títol pues com el metges a exposa lo, el noi tenia molt sentiments amb el pare, cuan plegui serà ell mateix!!","Ha estat bé, la Sra li feia rabia el títol exposat, criticaba que fos el pare el cuiner etc!!! pues ella era la que deia tot al seu fill Estudiar a la Joviat val molts diners i ja que te el títol pues com el metges a exposa lo, el noi tenia molt sentiments amb el pare, cuan plegui serà ell mateix!!","Ho ha tingut facil el guanyador,sense ser res del altre moln,el K només cal entrar pel show,la Forkilla ja ha tancat i el verdader terror era la senyora amargada,un lloc que abans d'entrar caldría llegir les critiques,per no parar","Ahir van fer programa? A TV3 En Directe, a través la pàgina web feien una altra cosa!!","Molt bon programa el d'ahir, Penso it a La Forkilla I Al Baix Pireneu. El restaurant d'en Client té molta personalitat I es molt divertit per a gent qui l'agradi el terror Enhorabona a tots",Avui he gaudit. Peto la sra. Montserrat tenía telita... Jo dec tenir la mateixa edat i he anat amb els meus fills a probar de tot i hem gaudit. A la forquilla penso anar-hi,"@insomniacorp brutal! No només pel restaurant. Hi tornarem, experiencies increibles. Bon programa!","@blackburnrebk la cosa es ver el respeto, los anteriores han ido a saco y gana el que no se merece!",,
JDC COMMENTS,https://www.instagram.com/p/CnAjqnpPX5k/,Hi vaig dinar una vegada fa cosa d'un any i no ens va agradar gens...,Hi vaig dinar una vegada fa cosa d'un any i no ens va agradar gens...,guanyat Felicitats,Molt ben guanyat .. Felicitats,,"M'ha encantat, uns plats amb molt bona pinta !! Un consell : puja aquest ànim,  somriu més i puja el cap i la mirada. Teniu un molt bon restaurant...I un molt bon cor❤️. Felicitats i èxits",Que bona pinta!,Brutal ehhhh,,
JDC COMMENTS,https://www.instagram.com/p/CnSjP6JsHdK/,,,Sincerament crec que és un plat excepcional i molt nutritiu,Em va agradar molt! A l'hora de les puntuacions dels especialistes van ser molt professionals! ❤️,Vam anar a la gormanda a dinar.. menjar bé però molt escàs per el.preu. vam.pagar 60 per persona. Nomes 1 mapolla de vi blanc. Al programa les racions eren més grans,Avui bon programa pero amb matisos. Bons restaurants a valorar pero els tres periodistres gastronomics força pujadets que no sou jutjes de la Guia Michelin. El Marc no es va notar tan content i distes com altres vegades. Aqui tenien de lluir els propietaris. I la Julia Roberts  Pel meu gust @lagormanda era la guanyadora,Felicitats per el programa....quins plats tant bons !!,Que pijerio,,
JDC COMMENTS,https://www.instagram.com/p/CnC_k3DBoGo/,,,JO MARXO,,Com vem riure,,,Ens ho vam passar molt bé! Gràcies. Seguiu així.,El vaig trobar molt desagradable. No aniria mai a dinar en aquest restaurant.,Tuvo que ganar ese tío que solo se quejaba de todo y después iba de víctima
JDC COMMENTS,https://www.instagram.com/p/CnAlcifITXU/,"Veiu les opinions al Tripadvisor i tindreu quina mena de ""bareto"" es","Veiu les opinions al Tripadvisor i tindreu quina mena de ""bareto"" es","La galta i el pollastre fan molt bona cara, tot lo contrari que la cara de mal rotllo que fa la senyora mestressa. La resta de concursants m'han encantat, crec que aniré a visitar-los als 3!!!!","Auria de puntuar el public a traves d'un missatge o trucada....i contar el vot de la gent tambe...ells amb ells , no es poden votar ...es ilogic.",,"No trobo justa la puntuació … apart, la senyora Puntuava baix i volia que la puntuessin per dalt …. En fin",Yo me esperaba que fuera ella la cocinera!,,,
JDC COMMENTS,https://www.instagram.com/p/CnAme22oAG7/,,,,,,,,,,
JDC COMMENTS,https://www.instagram.com/p/Cm9CdqbId2P/,,,Por fin desde casa dema,Perfecte .  Esperem ja,Desitjan q arribi demà,Insomnia...molta personalitat i el menjar deliciós,Insomnia,Insomnia❤️,Ha de guanyar Insomnia!,"Quines ganes!!! ❤️ nervis i emoció per demà!!! Mil gràcies a tot l’equip de @jocdecartestv3 , sou genials! Van ser uns dies innolvidables! Sense vosaltres i el @madxef no hauríem pogut ensenyar totes les nostres… CARTES!"
JDC COMMENTS,https://www.instagram.com/p/Cm_kMvHonQA/,Marc Ribes  no vale un duro.,Marc Ribes  no vale un duro.,"I qui guanyarà el millor plat, unes gambas de Palamòs?",,,"No m'ho perdo, per rés del Mon...",@fanylladomurla,"@vipcadaques59 Juan, no seas rencoroso",,
JDC COMMENTS,https://www.instagram.com/p/CmyjuZtInJY/,"Que ganó por como cocina q lo hizo mal y con trampas ,o porque le gustaba al cocinero ella .? Estas perdiendo muchos fans tuyos marc ,míratelo que hoy subes, y mañana te das contra el suelo majo ...","Que ganó por como cocina q lo hizo mal y con trampas ,o porque le gustaba al cocinero ella .? Estas perdiendo muchos fans tuyos marc ,míratelo que hoy subes, y mañana te das contra el suelo majo ...",,El millor de la zona de allá es La Buixeda entre altres,Es alucinante el nivel de ignorancia que hay detrás de la televisión se nota que opinar desde un teléfono es mui fácil i de valientes en fin se morirán con la ignorancia dentro i con una envidia que ni ellos se la aguantan el pescado se puede comer en la cerdanya igual que en barcelona un cacho de carne pensar un poco críticos ignorantes antes de poner unos comentarios tan nefastos i cínicos porque os dejara en la misma posición personal i profesional ahí que ser más persona en la vida que por gente como vosotros existen las guerras en el mundo !en fin allá cada uno con su ignorancia merecida victoria del Nou cateri pero de largo 5000€ ala saca  @manugarciamerideno,Lo millor de Cerdanya un peix,"Si no me he olvidado de sumar, no es la ganadora… porque 6,8+7,3+0,5 es menos que 7,8+7,2",Miren,Ja sé on no anar a dinar.!!! Un client mens.,
JDC COMMENTS,https://www.instagram.com/p/CnAiQHEokQ2/,"Ostres, suport anims ja veures com ho soluciones . Per cert la bestia te molt bona pinta, fa venir salibera","Ostres, suport anims ja veures com ho soluciones . Per cert la bestia te molt bona pinta, fa venir salibera",Hola a tots!! Gràcies pels vostres comentaris i pel vostre suport!! Si que es cert que tenim tancat...la vida ens ha sorprés de nou i hem hagut de pendre desicions dràstiques. Llàstima que el programa hagi arribat tant tard!! Aquesta setmana penjarem un post on us donem tots els detalls de la nostre situació ja que sou molts els que us heu preocupat per nosaltres!✨,,,"A mi m'ha encantat la Silvia, crec q s'ha de menjar be i tots els comentaris molt acertats i desde el respecte.",@laforkilla ostres quin greu. Si mai tornes a obrir ens ho fas saber.,,,
JDC COMMENTS,https://www.instagram.com/p/CnAgqqLtqHy/,Per personalitat hauria d'haver guanyat @insomniacorp! Jo si no fos tant cagada aniria amb el ulls tancats,Per personalitat hauria d'haver guanyat @insomniacorp! Jo si no fos tant cagada aniria amb el ulls tancats,"La Señora mayor dejo mucho q desear como persona,no iría a su restaurant ni a tomar agua de gratis!",Primera vegada q veiem tot el programa sencer,"@amivegeta un restaurant ""terrorífic"" havia de tenir música ""terrorífica""!","@charlie3r77 Sí, sí, ho he sentit exactament  i ho he entés com tothom ho ha entés. Doncs canvia ""associen"" per ""identifiquen"", a veure si així ara ho entens tu. Potser no m'he explicat bé abans.",,,,
JDC COMMENTS,https://www.instagram.com/p/Cm1W5mYo5Wo/,Mr wonderful tongazo,Mr wonderful tongazo,"He tornat a veure el programa perquè en directe vaig quedat en xoc. Marc, quina gran cagada donar el plat estrella a un plat de peix a la Cerdanya, quan hi havien plats de trinxat confits…
Llàstima que tu mateix espatllis el que havies arreglat amb la puntuació personal i acabi guanyant aquesta noia prepotent que puntua  molt baix quan el preu es mes econòmic que el que ella havia dit. Increïble. El programa ha perdut molt i sembla que només busca el show.","#jocdecartastv3,,, cuando pongáis el voto del público para decidir ganador, a lo mejor en ese momento todo será más justo, más transparente y más equilibrado que no los compromisos e intereses que crea el programa.",Els millor restaurant de la cerdanya el paller de queixams,,,,,
JDC COMMENTS,https://www.instagram.com/p/CmumE4woJky/,"La tia aquesta es una sobrada..i la risa forçada..ufff no la trago,no anire ni boja","La tia aquesta es una sobrada..i la risa forçada..ufff no la trago,no anire ni boja",Crec que el joc brut hauria d'estar penalitzat,@lalalelia_ de creguts res senyora !! Que te vaigui ve la vida,@maitecortasaarderiu els programas venan el que volen …,,,,,
JDC COMMENTS,https://www.instagram.com/p/CmunDO8ohD_/,,,Injust.. sobrada ..dolenta..estratega paiassa!!!!!! Que no vaigi ningu al seu restaurant...,Este programa se va a pike ya,Quina puta merda,"So jo dono un 6 esta bé i és bó, pero si m'el donen a mi ploro... Nena et cal més humilitat, l'has cagada a base de bé...",Quan pugui aniré a dinar al restaurant d’en Gerard!!,,,
JDC COMMENTS,https://www.instagram.com/p/CmukW_Uopoq/,No me gusta nada este programa van a reventarse entre ellos hay cocinas impresionantes y comida espectacular y se matan entre ellos son tan falsos,No me gusta nada este programa van a reventarse entre ellos hay cocinas impresionantes y comida espectacular y se matan entre ellos son tan falsos,"Guanyar amb l'arròs fet un pa, em sembla molt fort... No sé com es va atrevir a servir aquell plat. Em va donar molt fàstic. Anava massa sobrada, no van dir que el canalo estigués cruu, van dir que estava al dente, va fer un gramasa.","Jugar brut, ella mateixa ho ha dit. Ha puntuat baix perquè ha vist amb ell una clara competència. Ha desmerescut el restaurant, la cuina i el servei. El suc de la llaminera i altres bestieses més. Injust que per mig punt del plat estrella hagi guanyat.",El restaurant guanyador sense dubtes!!!,"La Miren té criteri, peró juga descaradament. No es guanyadora per mi.",Una jugadora nata!!! Amb ajuda del programa va fer bingo...,"@berenguermeli todos hemos visto que eres familia de la mal educada de miren. Deja de comentar a la desesperada por blanquear la pésima imagen que ha dado delante de toda Catalunya. Si quieres ayudarla, hazle ver su poca ética y que intente mejorar como persona.",,
JDC COMMENTS,https://www.instagram.com/p/Cmui5tloVnC/,"@madxef , el polonia et fa la competencia, avere que no et tregui audiencia","@madxef , el polonia et fa la competencia, avere que no et tregui audiencia","Em sap molt greu però no. M'agrada el seu comportament, és un bon noi, amb molta humilitat i ha après molt del programa. Crec que tindrà un bon futur si li agrada la restauració i fa uns canvis. Ànims i endavant!❤️","Mes cruel es la broma del PLAT ESTRELLA, mooooooolt típic de la Cerdanya, tambre podria ser que es consideri un peix del Segre","Conec a la Miren i el seu restaurant …Cal Cateri 
Es molt amable es menja molt be i el tracte , super correcte !  Hi tornarem !!","No debería haber ganado la chica , a mi forma de ver fue mucho a jugar y puntuó muy bajo para ganar",Un concursant honest que ha acceptat les crítiques amb esportivitat i ha pres nota per millorar… els nostres millors desitjos!,"Endavant Enric, admiro la teva honestedat , arribaràs lluny, saps encaixar les crítiques i això et farà créixer exponencialment",L'Enric ha estat humil i prou intel.ligent com per entendre que cal fer canvis en la gestió del restaurant.,"@thermomixpuigcerda_roser no et puc negar que es mengi bé, dons no hi he anat. El que tinc clar es que no ha jugat net. Ha tapat la seva falsedat amb les rialles que feia i per darrera ha anat a ganivetades. Ella mateixa ho ha reconegut. El preu, exagerat!!!"
JDC COMMENTS,https://www.instagram.com/p/Cmuhf5sI6ut/,Gens de ganes d'anar-hi a aquest lloc... Massa frase motivadora i molta prepotència i hipocresia. El seu comportament els farà mal al restaurant,Gens de ganes d'anar-hi a aquest lloc... Massa frase motivadora i molta prepotència i hipocresia. El seu comportament els farà mal al restaurant,"Dons no. Estic tant enfadada que ni em molesto en ""olorar"".",Diría que no.,IMPRESENTABLE!!!! QUE TORNI EL PREMI!!! TONGO TOTAL!!!! De pena que aquesta personeta fent el que fa que no és pas cuines de la Cerdanya hagi guanyat!!! Vergonyos!!!!,"Cap ni un, injusta guanyadora..",Tongo i jugant les cartes brutament! No mhi veuran el pèl mai per @ elnoucalcateri 0 !!,@conchitanaudi  tota la raó !!,,
JDC COMMENTS,https://www.instagram.com/p/CmwKJvUBqZm/,"Creo que cada uno puede hablar como se sienta mejor no? O esto que es? Una dictadura!!!

Alucino con la poca empatía de la gente y como existe tanto odio… prefiero un restaurante con frases motivadoras y limpio que me haga sentir como en casa que no uno oscuro y “sin cáliu”.

Yo he comido en este restaurante y lo que le hace especial es que tiene un poco de cada rincón, puedes comer un trinxat de coles de su propio huerto y un pescado a la brasa de la cual no se la procedencia pero está cojonudo!!! 

Miren yo os animo a seguir y seguir. Ja sigui en català, castellano, euskera o francés.

Vuestra cocina os diferencia en La Cerdanya y vuestro amor y dedicación en la cocina se ven reflejados en vuestros platos.  Por este motivo Felicitats de tot ❤️","Creo que cada uno puede hablar como se sienta mejor no? O esto que es? Una dictadura!!!

Alucino con la poca empatía de la gente y como existe tanto odio… prefiero un restaurante con frases motivadoras y limpio que me haga sentir como en casa que no uno oscuro y “sin cáliu”.

Yo he comido en este restaurante y lo que le hace especial es que tiene un poco de cada rincón, puedes comer un trinxat de coles de su propio huerto y un pescado a la brasa de la cual no se la procedencia pero está cojonudo!!! 

Miren yo os animo a seguir y seguir. Ja sigui en català, castellano, euskera o francés.

Vuestra cocina os diferencia en La Cerdanya y vuestro amor y dedicación en la cocina se ven reflejados en vuestros platos.  Por este motivo Felicitats de tot ❤️","Potser el tema de les frases motivadores en Castellà en ple servei, o simplement en moments on personalment no estàs en el teu millor moment ajuden bastan! No deixa de ser un ofici dur, molt maco en molts aspectes però dur.. Tan en castellà perquè no?? Perquè estem a Cerdanya? Sembleu rucs.. (nomes català) així nem.. Mireu d'on veniu i després parleu..catalana amb llengüa materna castellana i quin coi de problema teniu.. Vergonya em faria criticar e insultar a gent que ni tan sols coneixeu..ooOoH turbot plat estrella a la cerdanya.. Primer el plat estrella NO ha de ser REPRESENTATIU D'EN LLOC!! es el plat que més agradat al Marc punt.. Ben Guanyat i ben merescut al Nou cal cateri! VISCA ELS CARTELLS EN CASTELLÀ AMB FRASES MOTIVADORES!","No volia opinar, ni justificar-me, ni donar explicacions, ni rebatre'm. Però sí hi ha una cosa que voldria dir. Tots som persones i estic molt agraïda d'haver coincidit amb ....., perquè gràcies a ells he pogut aprendre de la situació que estic vivint actualment. Tanmateix, no em sembla correcte que es ressalti la motivació i el positivisme com a quelcom negatiu o com, diria en Can Sebas, SECTARI. Estem bojos??
La falta d'informació i de coneixement d'algunes persones és evident, ja que el significat de SECTA està molt clar en qualsevol diccionari. Jo no crec que els meus cartells portin a cap tipus de secta. Perquè a vegades la ignorància busca fer mal a les persones?
Avui en dia, el que nodreix i ens fa créixer com a éssers humans és la nostra capacitat per canviar la forma de veure les coses. M'entristeix veure com mitjans de comunicació ho mostren com quelcom negatiu i en facin motiu d'escarni.
I així els hi va la vida a moltes persones. Sembla que m'hagi de disculpar o sentir vergonya per intentar transmetre i viure les coses de la forma més positiva possible. Jo assumeixo els meus actes i em sento orgullosa d'ells. No podem jutjar a les persones per la imatge que la televisió pugui donar d'elles, no és just!
Així que aquesta bruixa, hipòcrita, desagraïda, mala persona, egoista i tots aquells sinònims que algunes persones m'han dirigit sense conèixe'm, els agraeixo que hagin col·laborat a fer-me més forta, més confiada i millor persona. GRÀCIES",Que trist la gent que critica las paraules no frases que si el idioma que si las paraules ….. mes valdria quedar-se amb el bom missatge que Donan i se mes personals i no criticar tant des  de una pantalla ….cada escu a caça seva fica lo que vol i en el idioma que vol … gran miren la Millo persona i la Millo líder de una família i de un negoci que pot existir,"enveja , per no se idea teva",I totes en castellà...,,,
JDC COMMENTS,https://www.instagram.com/p/CmcnX_do6O5/,Toma zasca!!!,Toma zasca!!!,"mare meva, que un personatge com el Vinyals guanyi el programa. Els qui el coneixem sabem que es Una persona violenta i sense escrupuls. Heu vist quina mirada te?",Justet nivell 10…  @santibo73,"Antonio de @palermo.restaurant , amb lo majo que és hi aniria mil cops més que al del prepotent aquest..","@mercadepilar per dir veritats com temples, au va! a tu potser t'enganya, a mi no.  si ja ho sap tothom que li agrada aixecar la ma i les neurones no li fan bona conexio",@nuria_moix i tant; per mostra un botó,,,
JDC COMMENTS,https://www.instagram.com/p/Cmcn5v0IC71/,,,Sol fa falta mirar les resenyes d'aquest restaurant per saber el que realment es...,"Quina llàstima que guanyi un restaurant on ""teòricament"" ho fan tot bé i són uns cracks.  Més d'una boda ha tingut que cambiar de lloc aquest estiu pel tracte rebut per part del pla del bosc (i de certa persona). Així que... Penòs!",,Enhorabuena equipo!!! @hafid_1201 @cristoh.m @pladelbosc,"Bé ara que et coneix tothom Bernat aprofita de pagar els teus deutes ""suposadament"" és clar.","Crec que Pla del bosc és just guanyador. No entenc el càsting ja que ni Lo Celler de Cal Hereu ni Caravista, són restaurants de banquets. Qualsevol restaurant pot en un moment donat fer un banquet per 50 persones. Lo Celler de Cal Hereu pot haver sigut una sorpresa de senzillesa i bona qualitat, i els felicito, però no per guanyar ni jo celebraria un banquet.","@lluisfr75 jo em vaig casar i no vaig fer banquet. Per gustos, mira, colors  Però he celebrat comunions, aniversaris i batejos en llocs com Lo Celler que a priori tira cap enrere l'espai, però el menjar és el que t'atrapa. I al cap i a la fi, a un restaurant vas a menjar bé.",
