ID ,caption,url
909 JOC DE CARTES,La Miren guanya el #JocDeCartesTV3 i converteix @elnoucalcateri en el millor restaurant de la Cerdanya. Moltes felicitats!  Pots tornar a veure el programa a @tv3cat a la carta,https://www.instagram.com/p/CmyjuZtInJY/
909 JOC DE CARTES,Els plats de La Forkilla han despertat la imaginació del Climent. I la teva? Quin t'agradaria demanar? #JocDeCartesTV3,https://www.instagram.com/p/CnAiQHEokQ2/
909 JOC DE CARTES,"Comença #JocDeCartesTV3 a @tv3cat! Avui busquem el restaurant amb més personalitat de la Berguedà:

Restaurant K (@insomniacorp): el Climent és propietari d'un restaurant temàtic de terror. Us atreviríeu a visitar-lo?
La Baells: la Montserrat ajuda el seu fill, encara que ella defensa el seu dret a fer el que li doni la gana.
Baix Pirineu: el Josep és el propietari d'aquest restaurant familiar situat en una antiga fàbrica tèxtil.
@laforkilla: la Sílvia presenta un restaurant ple d'elements reciclats i amb esperit punkie que es va convertir en la millor manera de fer-se càrrec dels fills.",https://www.instagram.com/p/CnAgqqLtqHy/
909 JOC DE CARTES,Amb aquests paisatges espectaculars de fons es treballa molt millor  Us deixem algunes imatges de l'enregistrament del #JocDeCartesTV3 a la Cerdanya. Pots tornar a veure'l a @tv3cat a la carta,https://www.instagram.com/p/Cm1W5mYo5Wo/
909 JOC DE CARTES,"Tot i que l'Enric i la Miren s'han criticat, el Gerard creu que porten una estratègia perquè són amics. Tu què en penses? #JocDeCartesTV3",https://www.instagram.com/p/CmumE4woJky/
909 JOC DE CARTES,Enhorabona al restaurant guanyador d'avui per convertir-se en el millor de la Cerdanya!  #JocDeCartesTV3,https://www.instagram.com/p/CmunDO8ohD_/
909 JOC DE CARTES,Què et semblen els plats del Paller de Queixans? Són tan greus les queixes de la Miren sobre el servei? #JocDeCartesTV3,https://www.instagram.com/p/CmukW_Uopoq/
909 JOC DE CARTES,Potser servir carpaccio de Rudolph en aquestes dates és una broma una mica cruel  T'atreviries a tastar aquest plat del Gat Negre? #JocDeCartesTV3,https://www.instagram.com/p/Cmui5tloVnC/
909 JOC DE CARTES,A vosaltres també us han agafat ganes d'olorar els segons plats del Nou Cal Caterí?  #JocDeCartesTV3,https://www.instagram.com/p/Cmuhf5sI6ut/
909 JOC DE CARTES,"Potser el tema de les frases motivadores se’ns en està anant de les mans... Només potser, eh?  #JocDeCartesTV3",https://www.instagram.com/p/CmwKJvUBqZm/
909 JOC DE CARTES,Mare meva! La tensió es pot tallar amb un ganivet  #JocDeCartesTV3,https://www.instagram.com/p/CmcnX_do6O5/
909 JOC DE CARTES,Enhorabona al guanyador de #JocDeCartesTV3 d'avui! Ben merescut!,https://www.instagram.com/p/Cmcn5v0IC71/
909 JOC DE CARTES,"Darrere de #JocDeCartesTV3 hi ha un equipàs que estima el que fa i això es nota en el resultat  Així es veu el programa des de darrere les càmeres. I, si et vas perdre l'últim, et convidem a veure'l a la carta a @tv3cat",https://www.instagram.com/p/CmjFcq7IsVb/
909 JOC DE CARTES,"Aquesta nit, #JocDeCartesTV3 puja a les altures per buscar el millor restaurant de la Cerdanya  Amb què ens sorprendran, els restauradors de la comarca? Us esperem, a les 22.05, a @tv3cat",https://www.instagram.com/p/CmtTIkKIToB/
909 JOC DE CARTES,A la Cerdanya també hi ha propostes gastronòmiques innovadores! Què us sembla aquesta crema de pèsols amb maduixes de Cal Cebes?  #JocDeCartesTV3,https://www.instagram.com/p/Cmuf-UAorS0/
